# Latin key <TAB> Devanagari word - generated from ne-words.sqlite3.
# Sorted by UTF-8 byte order, which is what fst's SetBuilder requires.
# Regenerate with tools/mkwords.py; do not hand-edit.
DaDhelo	डढेलो
aitihasik	ऐतिहासिक
aiya	ऐया
aiyaa	ऐया
aj	आज
ajh	अझ
ajit	आजित
ajnaan	अज्ञान
ajnaanata	अज्ञानता
ajnaanataa	अज्ञानता
ajnaani	अज्ञानी
ajnaanii	अज्ञानी
ajnaat	अज्ञात
ajnan	अज्ञान
ajnanata	अज्ञानता
ajnanataa	अज्ञानता
ajnani	अज्ञानी
ajnanii	अज्ञानी
ajnat	अज्ञात
ajuli	अँजुली
ajulii	अँजुली
aj~naan	अज्ञान
aj~naanataa	अज्ञानता
aj~naanii	अज्ञानी
aj~naat	अज्ञात
akSham	अक्षम
akShar	अक्षर
akShataa	अक्षता
akTobar	अक्टोबर
akaanksha	आकाङ्क्षा
akaankshaa	आकाङ्क्षा
akaar	आकार
akaash	आकाश
akabar	अकबर
akada	आँकडा
akadaa	आँकडा
akalan	आकलन
akalpaniiy	अकल्पनीय
akalpaniy	अकल्पनीय
akamakk	अकमक्क
akanksha	आकाङ्क्षा
akankshaa	आकाङ्क्षा
akar	आकार
akaraN	अकरण
akaran	अकरण
akarmaNy	अकर्मण्य
akarmaNyataa	अकर्मण्यता
akarmak	अकर्मक
akarmany	अकर्मण्य
akarmanyata	अकर्मण्यता
akarmanyataa	अकर्मण्यता
akarshak	आकर्षक
akarshan	आकर्षण
akarshit	आकर्षित
akash	आकाश
akasmaat	अकस्मात
akasmat	अकस्मात
akasmik	आकस्मिक
akhaDaa	अखडा
akhaND	अखण्ड
akhabaar	अखबार
akhabar	अखबार
akhada	अखडा
akhadaa	अखडा
akhand	अखण्ड
akhibhau	आँखीभौँ
akhiibhau	आँखीभौँ
akhiri	आखिरी
akhirii	आखिरी
akhtiyaar	अख्तियार
akhtiyar	अख्तियार
akhyaan	आख्यान
akhyan	आख्यान
akraamak	आक्रामक
akraant	आक्रान्त
akramak	आक्रामक
akraman	आक्रमण
akrant	आक्रान्त
akrisht	आकृष्ट
akriti	आकृति
aksar	अक्सर
aksham	अक्षम
akshar	अक्षर
akshata	अक्षता
akshataa	अक्षता
akshep	आक्षेप
aksijan	अक्सिजन
aktobar	अक्टोबर
akupanchar	अकुपञ्चर
akupa~nchar	अकुपञ्चर
alTimeTam	अल्टिमेटम
alaava	अलावा
alaavaa	अलावा
alag	अलग
alagaalag	अलगअलग
alagalag	अलगअलग
alagg	अलग्ग
alamal	अलमल
alamall	अलमल्ल
alankaar	अलङ्कार
alankar	अलङ्कार
alapatr	अलपत्र
alasy	आलस्य
alataal	आलटाल
alatal	आलटाल
alaukik	अलौकिक
alava	अलावा
alavaa	अलावा
ala~Nkaar	अलङ्कार
albam	अल्बम
alchhi	अल्छी
alchhii	अल्छी
alekh	आलेख
ali	अलि
ali	आली
aliali	अलिअलि
alii	आली
alik	अलिक
alikati	अलिकति
alkohal	अल्कोहल
allaare	अल्लारे
allare	अल्लारे
alo	आलो
alochak	आलोचक
alochana	आलोचना
alochanaa	आलोचना
alochanaatmak	आलोचनात्मक
alochanatmak	आलोचनात्मक
alochit	आलोचित
alok	आलोक
alokapriy	अलोकप्रिय
alp	अल्प
alpakaaliin	अल्पकालीन
alpakaalin	अल्पकालीन
alpakaliin	अल्पकालीन
alpakalin	अल्पकालीन
alpamat	अल्पमत
